Game_ID,Date,Season,Team_H,Points_H,Team_A,Points_A,H_Team_Elo_Before,A_Team_Elo_Before,H_Team_Elo_After,A_Team_Elo_After,H_Last_10_Avg_Points_H,H_Last_10_Avg_FG_H,H_Last_10_Avg_FGA_H,H_Last_10_Avg_2P_H,H_Last_10_Avg_2PA_H,H_Last_10_Avg_3P_H,H_Last_10_Avg_3PA_H,H_Last_10_Avg_FT_H,H_Last_10_Avg_FTA_H,H_Last_10_Avg_ORB_H,H_Last_10_Avg_TRB_H,H_Last_10_Avg_AST_H,H_Last_10_Avg_STL_H,H_Last_10_Avg_BLK_H,A_Last_10_Avg_Points_A,A_Last_10_Avg_FG_A,A_Last_10_Avg_FGA_A,A_Last_10_Avg_2P_A,A_Last_10_Avg_2PA_A,A_Last_10_Avg_3P_A,A_Last_10_Avg_3PA_A,A_Last_10_Avg_FT_A,A_Last_10_Avg_FTA_A,A_Last_10_Avg_ORB_A,A_Last_10_Avg_TRB_A,A_Last_10_Avg_AST_A,A_Last_10_Avg_STL_A
95,2009-11-02,2010,UTA,96.0,HOU,113.0,1501.8342263364043,1502.2982628078973,1484.3407547513125,1519.7917343929892,111.0,45.0,90.0,43.0,81.0,2.0,9.0,19.0,25.0,12.0,48.0,26.0,3.0,5.0,97.5,35.0,83.5,26.5,61.5,8.5,22.0,19.0,24.5,11.5,37.0,24.0,13.0
92,2009-11-02,2010,NYK,117.0,NOP,111.0,1467.442648253335,1487.20138552065,1474.193423212236,1480.450610561749,127.0,47.0,100.0,33.0,59.0,14.0,41.0,19.0,24.0,11.0,31.0,27.0,9.0,5.0,91.5,36.5,79.5,27.5,60.5,9.0,19.0,9.5,15.0,5.0,33.0,19.5,6.5
93,2009-11-02,2010,LAC,93.0,MIN,90.0,1467.1827425188055,1478.9080792712919,1471.904295842013,1474.1865259480844,95.5,37.5,76.0,31.5,61.0,6.0,15.0,14.5,22.5,7.5,38.5,25.0,6.5,6.0,112.0,45.0,97.0,40.0,86.0,5.0,11.0,17.0,23.0,16.0,46.0,24.0,11.0
102,2009-11-03,2010,POR,91.0,ATL,97.0,1508.5280189327395,1509.690447627695,1499.3129264022805,1518.905540158154,95.0,30.5,79.0,23.0,59.0,7.5,20.0,26.5,31.5,13.0,47.5,19.5,6.5,8.5,110.0,40.0,89.0,33.0,66.0,7.0,23.0,23.0,26.0,14.0,40.0,21.0,8.0
103,2009-11-03,2010,IND,93.0,DEN,111.0,1477.5289556785783,1521.9254313681404,1461.7810339744,1537.6733530723186,83.0,29.0,79.0,25.0,56.0,4.0,23.0,21.0,26.0,12.0,39.0,16.0,4.0,9.0,97.0,28.0,61.0,25.0,50.0,3.0,11.0,38.0,49.0,5.0,36.0,11.0,6.0
104,2009-11-03,2010,CLE,102.0,WAS,90.0,1509.6924146264987,1515.8173185002656,1519.2925656503523,1506.217167476412,89.5,32.5,66.0,25.0,49.5,7.5,16.5,17.0,23.0,5.5,32.0,19.5,8.0,9.0,95.5,37.0,81.5,32.5,68.5,4.5,13.0,17.0,23.0,8.5,43.0,19.0,5.5
106,2009-11-03,2010,DET,85.0,ORL,80.0,1500.084572055605,1533.04247664874,1506.5653908173533,1526.5616578869915,83.0,26.0,70.0,21.0,53.0,5.0,17.0,26.0,34.0,9.0,43.0,12.0,6.0,5.0,110.0,36.5,78.5,25.0,52.0,11.5,26.5,25.5,33.0,11.5,42.5,22.5,6.0
107,2009-11-03,2010,DAL,96.0,UTA,85.0,1513.9106088618325,1484.3407547513125,1521.6950300538458,1476.5563335592992,91.0,30.0,76.0,26.0,58.0,4.0,18.0,27.0,34.0,11.0,42.0,16.0,6.0,9.0,105.0,37.0,81.0,31.0,71.0,6.0,10.0,25.0,29.0,10.0,39.0,26.0,3.0
111,2009-11-03,2010,CHI,83.0,MIL,81.0,1485.5462118872429,1499.333777754817,1489.6620213004196,1495.2179683416402,92.0,35.0,84.0,32.0,68.0,3.0,16.0,19.0,28.0,15.0,52.0,20.0,5.0,9.0,86.0,34.0,85.0,27.0,62.0,7.0,23.0,11.0,19.0,12.0,44.0,17.0,7.0
113,2009-11-03,2010,PHI,74.0,BOS,105.0,1514.4762593808402,1549.4118937834476,1490.562552614255,1573.3256005500327,99.0,32.0,70.0,26.0,52.0,6.0,18.0,29.0,34.0,6.0,45.0,18.0,12.0,7.0,95.0,32.0,72.0,23.0,53.0,9.0,19.0,22.0,26.0,6.0,38.0,20.0,9.0
116,2009-11-03,2010,MIA,96.0,PHO,104.0,1533.9348189921157,1525.4055294449247,1522.7863863190096,1536.5539621180308,105.0,41.0,77.5,35.5,62.5,5.5,15.0,17.5,21.0,7.5,41.5,18.0,6.0,5.5,109.0,41.0,80.0,34.0,65.0,7.0,15.0,20.0,27.0,10.0,36.0,19.0,6.0
134,2009-11-04,2010,GSW,113.0,MEM,105.0,1481.5950567814077,1470.7515732003847,1488.563391211618,1463.7832387701744,107.0,44.0,89.0,40.0,78.0,4.0,11.0,15.0,23.0,13.0,41.0,25.0,7.0,8.0,119.5,46.5,91.0,40.0,77.5,6.5,13.5,20.0,28.0,14.0,48.0,22.0,6.5
133,2009-11-04,2010,BRK,94.0,DEN,122.0,1463.9195609432036,1537.6733530723186,1444.5487413611063,1557.044172654416,85.0,31.0,81.0,26.0,66.0,5.0,15.0,18.0,25.0,7.0,39.0,16.0,8.0,5.0,104.0,31.5,71.5,26.0,58.5,5.5,13.0,35.5,45.0,10.5,46.0,14.5,7.0
132,2009-11-04,2010,ORL,122.0,PHO,100.0,1526.5616578869915,1536.5539621180308,1541.2435846370545,1521.8720353679678,120.0,45.0,81.0,29.0,52.0,16.0,29.0,14.0,17.0,8.0,37.0,28.0,5.0,6.0,106.5,40.0,78.5,32.0,59.5,8.0,19.0,18.5,27.0,8.0,39.5,20.0,5.5
129,2009-11-04,2010,MIN,90.0,BOS,92.0,1474.1865259480844,1573.3256005500327,1470.097101551355,1577.415024946762,91.0,35.0,89.5,33.0,79.0,2.0,10.5,19.0,26.0,16.5,48.5,16.0,10.5,2.5,100.0,36.5,72.0,25.0,52.5,11.5,19.5,15.5,20.0,6.5,38.5,23.5,9.5
127,2009-11-04,2010,SAC,105.0,ATL,113.0,1481.9189395640026,1518.905540158154,1472.290307011078,1528.5341727110786,127.0,45.0,93.0,31.0,68.0,14.0,25.0,23.0,36.0,10.0,40.0,26.0,8.0,10.0,103.5,38.5,84.5,32.5,65.5,6.0,19.0,20.5,24.0,12.5,43.0,21.0,6.0
125,2009-11-04,2010,HOU,102.0,LAL,103.0,1519.7917343929892,1505.4914062979453,1514.7411157328643,1510.5420249580702,111.0,40.0,79.0,28.0,55.0,12.0,24.0,19.0,26.0,12.0,32.0,19.0,6.0,1.0,101.0,38.0,73.0,33.0,62.0,5.0,11.0,20.0,28.0,7.0,36.0,19.0,16.0
122,2009-11-04,2010,NYK,89.0,IND,101.0,1474.193423212236,1461.7810339744,1459.7358367765087,1476.2386204101274,122.0,45.0,96.5,34.5,64.5,10.5,32.0,21.5,26.0,11.5,37.5,25.5,7.5,4.0,109.0,39.0,73.0,29.0,55.0,10.0,18.0,21.0,25.0,6.0,40.0,23.0,1.0
120,2009-11-04,2010,NOP,114.0,DAL,107.0,1480.450610561749,1521.6950300538458,1488.456902737984,1513.688737877611,97.0,33.0,73.0,28.0,57.0,5.0,16.0,26.0,32.0,10.0,43.0,16.0,6.0,9.0,93.5,33.5,80.5,29.5,66.0,4.0,14.5,22.5,27.5,11.0,45.0,22.0,8.5
119,2009-11-04,2010,WAS,89.0,MIA,93.0,1506.217167476412,1522.7863863190096,1499.0407078238388,1529.9628459715827,123.0,48.0,78.0,39.0,64.0,9.0,14.0,18.0,23.0,8.0,36.0,28.0,6.0,2.0,96.0,30.0,69.0,29.0,62.0,1.0,7.0,35.0,46.0,13.0,45.0,16.0,7.0
126,2009-11-04,2010,TOR,110.0,DET,99.0,1488.9545210243111,1506.5653908173533,1498.4832183034666,1497.0366935381978,108.5,37.0,74.5,29.5,58.0,7.5,16.5,27.0,36.0,8.0,43.0,21.0,3.0,6.0,90.5,34.0,71.5,29.0,55.5,5.0,16.0,17.5,27.0,10.5,38.0,18.5,5.5
138,2009-11-05,2010,CLE,85.0,CHI,86.0,1519.2925656503523,1489.6620213004196,1514.007819999909,1494.9467669508629,93.66666666666667,33.666666666666664,72.66666666666667,25.0,53.0,8.666666666666666,19.666666666666668,17.666666666666668,24.333333333333332,8.0,35.333333333333336,21.333333333333332,8.0,7.0,88.5,35.0,85.0,33.0,71.5,2.0,13.5,16.5,22.0,14.5,38.0,16.0,7.0
140,2009-11-05,2010,UTA,113.0,SAS,99.0,1476.5563335592992,1516.3165314026032,1488.725211095494,1504.1476538664085,103.5,38.5,80.5,36.0,70.5,2.5,10.0,24.0,29.5,10.0,43.0,22.0,5.5,6.0,85.0,33.0,78.0,29.0,57.0,4.0,21.0,15.0,23.0,8.0,44.0,15.0,5.0
158,2009-11-06,2010,NOP,90.0,TOR,107.0,1488.456902737984,1498.4832183034666,1471.4829228688423,1515.4571981726083,105.5,39.5,82.5,33.0,64.5,6.5,18.0,20.0,24.5,12.0,43.5,20.0,8.5,7.0,107.0,39.0,88.0,32.0,66.0,7.0,22.0,22.0,28.0,15.0,36.0,20.0,7.0
166,2009-11-06,2010,MIN,72.0,MIL,87.0,1470.097101551355,1495.2179683416402,1455.240826440992,1510.0742434520034,90.66666666666667,36.333333333333336,84.66666666666667,34.333333333333336,74.0,2.0,10.666666666666666,16.0,21.333333333333332,13.0,45.666666666666664,18.0,8.666666666666666,2.3333333333333335,83.5,35.0,88.0,29.5,66.5,5.5,21.5,8.0,14.5,11.0,44.0,18.5,7.5
161,2009-11-06,2010,BOS,103.0,PHO,110.0,1577.415024946762,1521.8720353679678,1565.5837311106318,1533.703329204098,102.33333333333333,39.0,75.33333333333333,29.333333333333332,52.666666666666664,9.666666666666666,22.666666666666668,14.666666666666666,19.0,8.0,40.666666666666664,29.333333333333332,7.666666666666667,5.0,104.33333333333333,40.0,81.66666666666667,32.333333333333336,61.666666666666664,7.666666666666667,20.0,16.666666666666668,24.666666666666668,10.666666666666666,41.0,20.333333333333332,5.333333333333333
167,2009-11-06,2010,IND,102.0,WAS,86.0,1476.2386204101274,1499.0407078238388,1488.6654861580637,1486.6138420759025,88.0,32.5,85.0,29.0,62.5,3.5,22.5,19.5,25.0,12.5,41.5,14.5,8.0,9.5,93.66666666666667,33.666666666666664,77.33333333333333,29.333333333333332,64.0,4.333333333333333,13.333333333333334,22.0,29.0,9.666666666666666,44.666666666666664,16.666666666666668,5.0
159,2009-11-06,2010,ORL,110.0,DET,103.0,1541.2435846370545,1497.0366935381978,1546.811324108563,1491.4689540666893,121.0,45.5,84.5,31.5,58.5,14.0,26.0,16.0,20.5,11.0,42.0,27.0,6.5,4.5,93.33333333333333,35.0,75.33333333333333,29.0,59.0,6.0,16.333333333333332,17.333333333333332,26.333333333333332,10.666666666666666,40.333333333333336,18.0,4.666666666666667
157,2009-11-06,2010,CHO,103.0,ATL,83.0,1486.2241857033089,1528.5341727110786,1501.8784560911597,1512.8799023232277,90.5,29.5,83.0,27.5,66.5,2.0,16.5,29.5,35.5,15.5,53.0,15.0,11.0,6.0,106.66666666666667,41.0,84.66666666666667,35.0,66.66666666666667,6.0,18.0,18.666666666666668,22.333333333333332,12.333333333333334,44.333333333333336,19.666666666666668,4.666666666666667
147,2009-11-06,2010,LAL,114.0,MEM,98.0,1510.5420249580702,1463.7832387701744,1519.7385085570618,1454.5867551711829,99.0,37.666666666666664,84.33333333333333,32.333333333333336,66.0,5.333333333333333,18.333333333333332,18.333333333333332,25.333333333333332,13.666666666666666,43.0,20.666666666666668,11.333333333333334,3.6666666666666665,114.66666666666667,44.0,87.33333333333333,38.666666666666664,75.33333333333333,5.333333333333333,12.0,21.333333333333332,30.666666666666668,13.666666666666666,47.333333333333336,22.666666666666668,7.0
155,2009-11-06,2010,POR,96.0,SAS,84.0,1499.3129264022805,1504.1476538664085,1508.8611704958123,1494.5994097728767,93.66666666666667,32.333333333333336,81.0,25.333333333333332,60.666666666666664,7.0,20.333333333333332,22.0,26.333333333333332,12.0,43.666666666666664,20.333333333333332,6.666666666666667,7.0,92.0,34.0,79.5,29.0,61.0,5.0,18.5,19.0,27.0,12.0,40.0,14.5,4.5
153,2009-11-06,2010,HOU,105.0,OKC,94.0,1514.7411157328643,1501.632144830966,1523.1098050983205,1493.2634554655097,106.5,39.5,82.5,30.0,58.5,9.5,24.0,18.0,25.0,14.5,43.0,19.0,4.0,2.0,91.0,33.0,76.0,31.0,65.0,2.0,11.0,23.0,30.0,9.0,45.0,23.0,6.0
152,2009-11-06,2010,NYK,91.0,CLE,100.0,1459.7358367765087,1514.007819999909,1450.011824184574,1523.7318325918438,111.0,41.333333333333336,93.0,32.0,63.0,9.333333333333334,30.0,19.0,23.333333333333332,12.0,40.666666666666664,23.666666666666668,7.666666666666667,5.0,97.5,34.5,83.5,25.0,63.5,9.5,20.0,19.0,28.5,11.5,46.0,21.5,7.5
144,2009-11-06,2010,MIA,96.0,DEN,88.0,1529.9628459715827,1557.044172654416,1538.1289262677888,1548.8780923582099,102.0,39.333333333333336,81.66666666666667,32.666666666666664,63.666666666666664,6.666666666666667,18.0,16.666666666666668,19.666666666666668,9.0,41.666666666666664,19.333333333333332,6.666666666666667,4.333333333333333,110.0,35.666666666666664,75.33333333333333,28.666666666666668,60.666666666666664,7.0,14.666666666666666,31.666666666666668,40.333333333333336,10.0,46.0,18.0,8.666666666666666
142,2009-11-06,2010,PHI,97.0,BRK,94.0,1490.562552614255,1444.5487413611063,1494.2321556283891,1440.8791383469722,86.5,30.5,75.0,27.0,58.0,3.5,17.0,22.0,28.0,8.5,39.5,16.5,9.5,5.0,88.33333333333333,32.0,76.0,29.333333333333332,67.0,2.6666666666666665,9.0,21.666666666666668,26.333333333333332,11.333333333333334,39.0,16.666666666666668,5.666666666666667
156,2009-11-06,2010,GSW,90.0,LAC,118.0,1488.563391211618,1471.904295842013,1462.3899348916516,1498.0777521619793,110.0,45.5,88.0,40.0,76.5,5.5,11.5,13.5,20.0,10.0,38.0,27.0,8.5,6.0,95.0,36.5,80.5,32.0,66.5,4.5,14.0,17.5,25.0,9.0,43.0,22.5,8.5
181,2009-11-07,2010,CHI,93.0,CHO,90.0,1494.9467669508629,1501.8784560911597,1499.5747922148655,1497.250430827157,87.5,32.0,79.0,28.0,65.5,4.0,13.5,19.5,29.5,14.5,52.5,19.0,6.0,10.5,69.0,26.0,71.0,23.0,59.5,3.0,11.5,14.0,22.5,12.0,39.5,14.5,6.0
180,2009-11-07,2010,MIL,102.0,NYK,87.0,1510.0742434520034,1450.011824184574,1518.3564709144428,1441.7295967221346,96.0,32.0,78.0,24.0,59.0,8.0,19.0,24.0,33.0,16.0,45.0,18.0,10.0,4.0,96.5,35.5,92.5,26.0,55.0,9.5,37.5,16.0,19.5,11.0,44.5,19.5,6.5
171,2009-11-07,2010,DAL,129.0,TOR,101.0,1513.688737877611,1515.4571981726083,1530.5357397942546,1498.6101962559646,93.5,32.0,81.0,26.5,63.0,5.5,18.0,24.0,28.5,13.0,46.0,17.0,7.0,10.5,107.0,39.0,82.5,28.5,57.0,10.5,25.5,18.5,25.5,12.0,37.5,21.5,6.5
175,2009-11-07,2010,ATL,125.0,DEN,100.0,1512.8799023232277,1548.8780923582099,1530.7508385891877,1531.00715609225,110.0,39.0,82.5,33.0,66.5,6.0,16.0,26.0,31.5,9.5,41.0,24.0,10.5,6.5,104.5,35.25,74.5,29.5,60.25,5.75,14.25,28.25,36.25,9.5,43.0,16.0,9.0
169,2009-11-07,2010,UTA,99.0,SAC,104.0,1488.725211095494,1472.290307011078,1479.8750296316014,1481.1404884749707,106.66666666666667,40.333333333333336,81.33333333333333,38.333333333333336,72.33333333333333,2.0,9.0,24.0,29.666666666666668,11.333333333333334,42.333333333333336,22.333333333333332,6.666666666666667,5.666666666666667,91.66666666666667,33.666666666666664,83.0,28.333333333333332,64.0,5.333333333333333,19.0,19.0,27.0,15.0,42.0,16.666666666666668,7.333333333333333
168,2009-11-07,2010,BRK,76.0,BOS,86.0,1440.8791383469722,1565.5837311106318,1432.943075721788,1573.519793735816,89.5,33.0,86.5,29.5,71.5,3.5,15.0,20.0,26.5,12.0,43.5,14.0,7.5,3.5,97.33333333333333,36.666666666666664,75.66666666666667,27.333333333333332,56.333333333333336,9.333333333333334,19.333333333333332,14.666666666666666,19.666666666666668,7.0,37.666666666666664,23.333333333333332,9.333333333333334
170,2009-11-07,2010,LAC,113.0,MEM,110.0,1498.0777521619793,1454.5867551711829,1501.789820142484,1450.8746871906783,94.66666666666667,35.666666666666664,75.66666666666667,30.333333333333332,59.666666666666664,5.333333333333333,16.0,18.0,25.666666666666668,10.0,41.666666666666664,24.333333333333332,7.0,7.333333333333333,110.5,42.0,85.25,37.0,74.5,5.0,10.75,21.5,30.25,13.5,44.75,20.25,6.25
184,2009-11-08,2010,LAL,104.0,NOP,88.0,1519.7385085570618,1471.4829228688423,1528.8721697186854,1462.3492617072186,102.75,40.25,87.0,34.0,69.0,6.25,18.0,16.0,21.75,14.75,44.5,24.25,9.75,4.25,98.0,38.333333333333336,81.66666666666667,29.0,60.333333333333336,9.333333333333334,21.333333333333332,12.0,16.333333333333332,5.666666666666667,35.333333333333336,21.0,5.333333333333333
186,2009-11-08,2010,SAC,120.0,GSW,107.0,1481.1404884749707,1462.3899348916516,1490.2265010334868,1453.3039223331355,116.0,42.5,94.5,33.0,74.5,9.5,20.0,21.5,31.5,14.5,41.5,22.0,9.5,6.0,101.0,36.0,85.0,30.0,72.0,6.0,13.0,23.0,28.0,9.0,38.0,16.0,7.0
187,2009-11-08,2010,WAS,90.0,PHO,102.0,1486.6138420759025,1533.703329204098,1474.6938234506829,1545.6233478293177,106.0,39.5,80.0,32.5,65.0,7.0,15.0,20.0,25.5,10.5,38.5,21.5,6.5,3.5,105.75,39.25,79.75,30.25,58.75,9.0,21.0,18.25,26.0,9.75,40.5,21.75,5.75
188,2009-11-08,2010,POR,116.0,MIN,93.0,1508.8611704958123,1455.240826440992,1520.3135749243713,1443.7884220124329,94.25,32.25,79.25,25.75,59.75,6.5,19.5,23.25,27.25,11.75,44.75,18.0,6.75,7.0,101.0,41.0,92.5,37.5,84.0,3.5,8.5,15.5,19.5,15.0,43.0,22.5,10.5
190,2009-11-08,2010,DET,88.0,PHI,81.0,1491.4689540666893,1494.2321556283891,1498.3121483678478,1487.3889613272306,84.0,26.5,71.0,24.0,59.5,2.5,11.5,28.5,36.0,9.0,43.5,10.0,6.5,4.5,123.5,45.0,81.0,40.0,68.0,5.0,13.0,28.5,36.0,9.0,41.5,19.5,8.5
193,2009-11-08,2010,OKC,102.0,ORL,74.0,1493.2634554655097,1546.811324108563,1514.02684421239,1526.0479353616827,91.33333333333333,33.666666666666664,78.0,28.0,61.0,5.666666666666667,17.0,18.333333333333332,23.666666666666668,11.666666666666666,39.0,16.333333333333332,7.666666666666667,6.666666666666667,100.0,34.0,78.66666666666667,23.0,49.333333333333336,11.0,29.333333333333332,21.0,27.333333333333332,11.0,42.333333333333336,21.0,6.0
201,2009-11-09,2010,NYK,93.0,UTA,95.0,1441.7295967221346,1479.8750296316014,1436.6255134079759,1484.97911294576,106.0,40.0,90.0,31.0,60.5,9.0,29.5,17.0,20.5,10.0,38.25,22.75,8.5,4.5,95.0,35.5,81.5,30.5,71.0,5.0,10.5,19.0,24.5,9.0,38.0,23.5,6.5
200,2009-11-09,2010,LAC,84.0,NOP,112.0,1501.789820142484,1462.3492617072186,1473.8203889322292,1490.3186929174733,99.25,37.25,77.75,31.75,60.5,5.5,17.25,19.25,27.5,9.75,40.25,25.25,8.0,6.75,95.5,36.5,82.5,27.75,61.0,8.75,21.5,13.75,18.0,8.0,37.25,21.5,6.0
202,2009-11-09,2010,GSW,146.0,MIN,105.0,1453.3039223331355,1443.7884220124329,1474.549400344809,1422.5429440007592,103.33333333333333,40.0,86.66666666666667,34.0,71.66666666666667,6.0,15.0,17.333333333333332,24.333333333333332,11.666666666666666,39.0,24.0,8.0,4.666666666666667,98.33333333333333,39.666666666666664,89.33333333333333,35.0,77.33333333333333,4.666666666666667,12.0,14.333333333333334,20.0,13.333333333333334,41.666666666666664,21.333333333333332,9.333333333333334
194,2009-11-09,2010,SAS,131.0,TOR,124.0,1494.5994097728767,1498.6101962559646,1501.478706468313,1491.7308995605283,113.0,44.0,80.0,35.5,60.0,8.5,20.0,16.5,22.0,9.0,39.0,24.5,7.0,3.5,105.0,38.0,82.33333333333333,28.333333333333332,58.0,9.666666666666666,24.333333333333332,19.333333333333332,26.0,12.0,38.0,19.666666666666668,6.0
196,2009-11-09,2010,PHI,115.0,PHO,119.0,1487.3889613272306,1545.6233478293177,1481.1589306874903,1551.853378469058,90.0,32.333333333333336,74.0,27.333333333333332,57.333333333333336,5.0,16.666666666666668,20.333333333333332,27.0,9.0,40.0,19.0,8.666666666666666,5.666666666666667,105.0,39.8,81.4,30.2,59.2,9.6,22.2,15.8,23.6,10.4,42.4,23.4,5.8
206,2009-11-10,2010,MEM,79.0,POR,93.0,1450.8746871906783,1520.3135749243713,1438.7052736180146,1532.482988497035,94.5,34.0,77.0,31.5,66.5,2.5,10.5,24.0,33.0,17.5,47.0,17.0,7.0,4.0,95.0,33.0,71.5,26.0,52.0,7.0,19.5,22.0,28.0,11.0,38.5,17.5,7.0
207,2009-11-10,2010,DAL,121.0,HOU,103.0,1530.5357397942546,1523.1098050983205,1542.39850149473,1511.2470433978451,105.33333333333333,39.0,82.33333333333333,32.0,63.666666666666664,7.0,18.666666666666668,20.333333333333332,26.0,10.666666666666666,44.666666666666664,22.0,8.333333333333334,8.0,102.66666666666667,37.333333333333336,83.66666666666667,28.333333333333332,62.666666666666664,9.0,21.0,19.0,25.0,12.666666666666666,40.0,25.666666666666668,11.666666666666666
209,2009-11-10,2010,CHO,81.0,ORL,93.0,1497.250430827157,1526.0479353616827,1484.5659669927743,1538.7323991960654,94.66666666666667,32.666666666666664,83.0,27.666666666666668,66.0,5.0,17.0,24.333333333333332,29.666666666666668,14.333333333333334,54.0,18.0,8.0,6.333333333333333,93.5,31.75,76.0,22.75,50.0,9.0,26.0,21.0,29.0,10.5,39.25,19.25,6.25
210,2009-11-10,2010,CHI,89.0,DEN,90.0,1499.5747922148655,1531.00715609225,1495.2073546791091,1535.3745936280063,89.33333333333333,34.0,78.0,30.0,66.0,4.0,12.0,17.333333333333332,27.0,14.666666666666666,49.666666666666664,20.333333333333332,6.666666666666667,8.666666666666666,103.6,34.6,75.2,29.6,61.8,5.0,13.4,29.4,37.2,9.6,41.6,16.2,8.2
212,2009-11-10,2010,SAC,101.0,OKC,98.0,1490.2265010334868,1514.02684421239,1495.188356974466,1509.0649882714108,117.33333333333333,42.666666666666664,92.0,34.666666666666664,72.66666666666667,8.0,19.333333333333332,24.0,33.666666666666664,14.666666666666666,45.0,21.666666666666668,9.0,5.333333333333333,92.5,36.5,84.0,34.5,74.5,2.0,9.5,17.5,23.5,10.0,42.5,19.0,7.0
